filename,width,height,class,xmin,ymin,xmax,ymax
MAX_0053_JPG.rf.9c56a83c0ccde6db518ddee445e706aa.jpg,2025,1350,tree,337,1258,633,1350
MAX_0053_JPG.rf.9c56a83c0ccde6db518ddee445e706aa.jpg,2025,1350,tree,1270,280,1688,636
MAX_0053_JPG.rf.9c56a83c0ccde6db518ddee445e706aa.jpg,2025,1350,tree,941,114,1356,580
MAX_0053_JPG.rf.9c56a83c0ccde6db518ddee445e706aa.jpg,2025,1350,tree,337,0,608,268
MAX_0053_JPG.rf.9c56a83c0ccde6db518ddee445e706aa.jpg,2025,1350,tree,1424,0,1687,283
MAX_0053_JPG.rf.9c56a83c0ccde6db518ddee445e706aa.jpg,2025,1350,tree,964,0,1447,144
MAX_0053_JPG.rf.9c56a83c0ccde6db518ddee445e706aa.jpg,2025,1350,tree,663,9,843,205
MAX_0137_JPG.rf.9c74a544221464e4e606169048fce20b.jpg,2025,1350,tree,1448,8,1793,296
MAX_0137_JPG.rf.9c74a544221464e4e606169048fce20b.jpg,2025,1350,tree,990,0,1389,368
MAX_0137_JPG.rf.9c74a544221464e4e606169048fce20b.jpg,2025,1350,tree,262,0,977,234
MAX_0137_JPG.rf.9c74a544221464e4e606169048fce20b.jpg,2025,1350,tree,95,199,802,731
MAX_0137_JPG.rf.9c74a544221464e4e606169048fce20b.jpg,2025,1350,tree,852,340,1622,1071
MAX_0137_JPG.rf.9c74a544221464e4e606169048fce20b.jpg,2025,1350,tree,1612,288,2025,1085
MAX_0137_JPG.rf.9c74a544221464e4e606169048fce20b.jpg,2025,1350,tree,1131,1082,2017,1350
MAX_0137_JPG.rf.9c74a544221464e4e606169048fce20b.jpg,2025,1350,tree,593,1079,1123,1348
MAX_0137_JPG.rf.9c74a544221464e4e606169048fce20b.jpg,2025,1350,tree,0,737,834,1314
MAX_0137_JPG.rf.9c74a544221464e4e606169048fce20b.jpg,2025,1350,tree,0,375,88,960
MAX_0137_JPG.rf.9c74a544221464e4e606169048fce20b.jpg,2025,1350,tree,6,96,213,352
MAX_0137_JPG.rf.9c74a544221464e4e606169048fce20b.jpg,2025,1350,tree,10,0,177,77
MAX_0161_JPG.rf.a750c14633464de9c639b5f80fe45a4b.jpg,2025,1350,tree,386,127,818,690
MAX_0161_JPG.rf.a750c14633464de9c639b5f80fe45a4b.jpg,2025,1350,tree,474,726,853,1030
MAX_0161_JPG.rf.a750c14633464de9c639b5f80fe45a4b.jpg,2025,1350,tree,12,619,436,989
MAX_0161_JPG.rf.a750c14633464de9c639b5f80fe45a4b.jpg,2025,1350,tree,5,0,365,441
